Topic,Count,Name,Representation,Representative_Docs
-1,735,-1_in_with_you_like,"['in', 'with', 'you', 'like', 'from', 'just', 'your', 'to', 'his', 'are']","['I am in my 80s and not white Most Americans are racist KKK members, Nazis and other assorted trash. They are worse than Nazis and have soldiers and concentration camps in more countries than Hitler did. Boycott USA.', ""At least he can protect his women and children. Yours are being raped by an invading force while you sit back and justify it.  You're pathetic and you'd get destroyed in any battle, regardless if it was a US vs Sweden war or just your pussy ass on the streets in America. Your homeland is the land of cowards and cucks."", ""At least he can protect his women and children. Yours are being raped by an invading force while you sit back and justify it.  You're pathetic and you'd get destroyed in any battle, regardless if it was a US vs Sweden war or just your pussy ass on the streets in America. Your homeland is the land of cowards and cucks.""]"
0,456,0_out_keep_murderers_syrian,"['out', 'keep', 'murderers', 'syrian', 'parasites', 'rapists', 'ship', 'refugees', 'fucking', 'either']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
1,300,1_am_their_for_unacceptable,"['am', 'their', 'for', 'unacceptable', 'mexicoguatemala', 'resist', 'whitemexicanblack', 'suit', 'ways', 'savage']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
2,264,2_eat_property_technology_pangolin,"['eat', 'property', 'technology', 'pangolin', 'appetites', 'determined', 'extinct', 'intellectual', 'research', 'creature']","[""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth""]"
3,228,3_trump_muslim_kill_friend,"['trump', 'muslim', 'kill', 'friend', 'palestinian', 'true', 'next', 'president', 'help', 'will']","['trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.', 'trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.', 'trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.']"
4,217,4_very_rashid_watching_ppl,"['very', 'rashid', 'watching', 'ppl', 'crap', 'barbaric', 'pigs', 'culture', 'sick', 'home']","['My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.']"
5,176,5_slant_bulldozed_chinatown_should,"['slant', 'bulldozed', 'chinatown', 'should', 'be', 'deported', 'right', 'those', 'losangeles', 'every']","['Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.']"
6,152,6_gook_killed_deported_losangeles,"['gook', 'killed', 'deported', 'losangeles', 'or', 'every', 'should', 'be', 'in', 'written']","['Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.']"
7,108,7_halfbreed_spic_wetback_none,"['halfbreed', 'spic', 'wetback', 'none', 'filthy', 'savages', 'live', 'many', 'right', 'losangeles']","['Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.']"
8,104,8_asian_chong_ching_idiot,"['asian', 'chong', 'ching', 'idiot', 'land', 'bitch', 'an', 'stupid', 'youre', 'go']","[""Stupid Asian Bitch You're an idiot and you should go back to ching chong land"", ""Stupid Asian Bitch You're an idiot and you should go back to ching chong land"", ""Stupid Asian Bitch You're an idiot and you should go back to ching chong land""]"
9,84,9_niggers_hate_even_clue,"['niggers', 'hate', 'even', 'clue', 'ethic', 'niggrus', 'gauche', 'article', 'americanus', 'towelheads']","['yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them']"
10,76,10_assimilate_prepared_secular_threaten,"['assimilate', 'prepared', 'secular', 'threaten', 'democracy', 'plan', 'assault', 'force', 'terror', 'attacks']","[""GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!"", ""GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!"", ""GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!""]"
11,76,11_wetbacks_sorrynotsorry_l1ltr4p_losers,"['wetbacks', 'sorrynotsorry', 'l1ltr4p', 'losers', 'fucking', 'reading', 'post', 'seem', 'wetback', 'her']","['@L1LTR4P fucking losers wetbacks #SorryNotSorry', '@L1LTR4P fucking losers wetbacks #SorryNotSorry', '@L1LTR4P fucking losers wetbacks #SorryNotSorry']"
12,71,12_taken_obama_brought_kicked,"['taken', 'obama', 'brought', 'kicked', 'trash', 'own', 'country', 'there', 'send', 'need']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
13,70,13_pakistan_paki_pakistani_porkistani,"['pakistan', 'paki', 'pakistani', 'porkistani', 'state', 'skanks', 'now', 'say', 'kashmir', 'jihadi']","['Thats porkistan you turd flinging monkey . Stop spreading lies you imbecile . I wonder why paki skanks dont abort their children more you porkistani scum are disgusting dirty shit reaking scum. Paki sluts are the best for practicing to fuck espexailly the conservatives one lol. I know so many Hindu men butt fucking porkistani skanks that are married and throat fucking them . Paki women love sucking our lund while dread the thought of even touching you inbred low iq beta porkistani insecure male.', 'Thats porkistan you turd flinging monkey . Stop spreading lies you imbecile . I wonder why paki skanks dont abort their children more you porkistani scum are disgusting dirty shit reaking scum. Paki sluts are the best for practicing to fuck espexailly the conservatives one lol. I know so many Hindu men butt fucking porkistani skanks that are married and throat fucking them . Paki women love sucking our lund while dread the thought of even touching you inbred low iq beta porkistani insecure male.', 'Thats porkistan you turd flinging monkey . Stop spreading lies you imbecile . I wonder why paki skanks dont abort their children more you porkistani scum are disgusting dirty shit reaking scum. Paki sluts are the best for practicing to fuck espexailly the conservatives one lol. I know so many Hindu men butt fucking porkistani skanks that are married and throat fucking them . Paki women love sucking our lund while dread the thought of even touching you inbred low iq beta porkistani insecure male.']"
14,67,14_deport_mexico_mexicans_wall,"['deport', 'mexico', 'mexicans', 'wall', 'dont', 'our', 'take', 'cheap', 'build', 'aliens']","['""Business groups"" don\'t give a damn about America. They just want cheap goods and cheap labor.  Well, libtards, it looks like Glorious Leader found a way to make Mexico pay for the wall. We don\'t want anyone dumping their genetic trash here.', ""Man these fucks at CNN make us fucking sick... !!! We are in full support of throwing the garbage ( illegal aliens ) right out the fucking door.. !!!! CNN is absolutely right family's need to stay together.. so they need to get the fuck out and take your bastard welfare kids right with you.. !!! you ever notice everywhere these nasty fucks hang out or live it looks like a garbage dump or landfill site... ?? Just take a look at where they live in mexico.. !! These nasty fucks have turned that place into a trash dump site... !!!"", ""Man these fucks at CNN make us fucking sick... !!! We are in full support of throwing the garbage ( illegal aliens ) right out the fucking door.. !!!! CNN is absolutely right family's need to stay together.. so they need to get the fuck out and take your bastard welfare kids right with you.. !!! you ever notice everywhere these nasty fucks hang out or live it looks like a garbage dump or landfill site... ?? Just take a look at where they live in mexico.. !! These nasty fucks have turned that place into a trash dump site... !!!""]"
15,64,15_suicide_minded_refers_dickhead,"['suicide', 'minded', 'refers', 'dickhead', 'strap', 'feeble', 'mongs', 'jealous', 'yey', 'ion']","['Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.', 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.', 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.']"
16,63,16_saudi_saudis_arabia_gays,"['saudi', 'saudis', 'arabia', 'gays', 'terrorist', 'cowards', 'embarrassments', 'region', 'pretty', 'war']","[""Thats funny, you sure love Saudi Arabia, the makers of 9/11. Plus, your own war machine is pretty much the biggest terrorist organization in the world. You're about to start another pointless war to steal more oil from the Middle East. You deserve to be nuked."", ""@AZOffRoadster People in Saudi Arabia, maybe. However, Iran's government supports and gives money to the best-funded terrorist group in the world: Hezbollah. They're pretty much an arm of the Iranian government. Maybe we should just blow them all up. The Saudis are useful allies at the moment and they DGAF about Israel, which makes them better than 80% of the region."", ""@AZOffRoadster People in Saudi Arabia, maybe. However, Iran's government supports and gives money to the best-funded terrorist group in the world: Hezbollah. They're pretty much an arm of the Iranian government. Maybe we should just blow them all up. The Saudis are useful allies at the moment and they DGAF about Israel, which makes them better than 80% of the region.""]"
17,55,17_trump_muslim_kill_friend,"['trump', 'muslim', 'kill', 'friend', 'palestinian', 'true', 'next', 'president', 'help', 'will']","['trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.', 'trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.', 'trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.']"
18,53,18_holocaust_happened_wish_actually,"['holocaust', 'happened', 'wish', 'actually', 'much', 'jews', 'so', 'hate', 'afraid', 'the']","['i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened']"
19,50,19_africa_south_drivers_poor,"['africa', 'south', 'drivers', 'poor', 'african', 'argentinian', 'transmitting', 'awb', 'cars', 'taxi']","['This idiot should F Off back to south africa', 'This idiot should F Off back to south africa', 'This idiot should F Off back to south africa']"
20,48,20_shrug_just_trash_fat,"['shrug', 'just', 'trash', 'fat', 'shit', 'americunts', 'america', 'hole', 'full', 'latinx']","['Americans disgust me for just shrugging and letting this go on. They just shrug at their disgusting piece of human filth of a president and they just shrug at 2 more right wing massacres. Shit hole country with shit hole people.', 'Americans disgust me for just shrugging and letting this go on. They just shrug at their disgusting piece of human filth of a president and they just shrug at 2 more right wing massacres. Shit hole country with shit hole people.', 'Americans disgust me for just shrugging and letting this go on. They just shrug at their disgusting piece of human filth of a president and they just shrug at 2 more right wing massacres. Shit hole country with shit hole people.']"
21,48,21_semite_choke_bagel_shalom,"['semite', 'choke', 'bagel', 'shalom', 'son', 'return', 'jewish', 'bastard', 'ill', 'shoot']","[""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?"", ""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?"", ""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?""]"
